identifier,title
HR 1380,Permanent Tax Relief for Working Families Act
HR 7408,SEC Economic Analysis Modernization Act
S 2935,Parental Bereavement Act of 2021
HR 2248,Ending PUSHOUT Act of 2021
HR 3483,Young Americans Financial Literacy Act
HRES 1176,"Expressing support for the designation of June 19, 2022, as ""World Sickle Cell Awareness Day"" in order to increase public alertness across the United States and global community about sickle cell disease, the continued need for empirical research, early detection screenings for sickle cell trait carriers, novel effective treatments leading to a cure, and preventative care programs with respect to complications from sickle cell anemia and conditions related to sickle cell disease."
HR 1104,Equal Protection for American Workers Act
HR 983,Preventing Crimes Against Veterans Act of 2021
HR 3237,"Emergency Security Supplemental Appropriations Act, 2021"
HR 7339,Responsible BUILD Act
HRES 833,"Reaffirming support for strong United States and Moldova relations, Moldova's democracy, and its sovereignty and territorial integrity."
HR 8751,High School Sports Injury Reporting
SJRES 70,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the United States Fish and Wildlife Service relating to ""Endangered and Threatened Wildlife and Plants; Lesser Prairie-Chicken; Threatened Status With Section 4(d) Rule for the Northern Distinct Population Segment and Endangered Status for the Southern Distinct Population Segment""."
HRES 1327,Expressing the sense of the House of Representatives that fentanyl-related substances are a weapon of mass destruction and should be classified as such.
HR 6968,Ending Importation of Russian Oil Act
S 4261,FORMULA Act
S 3492,"A bill to address the importance of foreign affairs training in national security, and for other purposes."
HR 1849,"To authorize the Secretary of Health and Human Services, acting through the Director of the Centers for Disease Control and Prevention, to establish a core public health infrastructure program, and for other purposes."
HR 5344,Two-State Solution Act
S 4018,HBCU RISE Act
HCONRES 65,Expressing the sense of the Congress that tax-exempt fraternal benefit societies have historically provided and continue to provide critical benefits to the people and communities of the United States.
S 442,BRIGHT Act
S 4015,TREAT Long COVID Act
HRES 1028,Supporting the current definition of materiality in the securities laws and opposing new disclosure requirements outside the core mission of the Securities and Exchange Commission.
HR 9578,"To provide that Donald J. Trump is ineligible to again hold the office of President of the United States or to hold any office, civil or military, under the United States."
S 4012,Renewing Investment in American Workers and Supply Chains Act
HR 7398,Prohibit Wildlife Killing Contests Act of 2022
HR 1939,"To require the Secretary of Health and Human Services to award additional funding through the Sanitation Facilities Construction Program of the Indian Health Service, and for other purposes."
HR 8558,Billionaire Minimum Income Tax Act
HR 5559,APP Act
HR 8770,Expanding the VOTE Act
HR 7407,Restaurant Revitalization Fund Fairness Act
HJRES 105,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the United States Fish and Wildlife Service relating to ""Endangered and Threatened Wildlife and Plants; Lesser Prairie-Chicken; Threatened Status With Section 4(d) Rule for the Northern Distinct Population Segment and Endangered Status for the Southern Distinct Population Segment""."
HR 7400,American Made Pharmaceuticals Act of 2022
S 4016,Responsible Budget Targets Act of 2022
HR 9510,Stop Anticompetitive Healthcare Act of 2022
HCONRES 110,"Commending the bravery, courage, and resolve of the women and men of Iran demonstrating in more than 80 cities and risking their safety to speak out against the Iranian regime's human rights abuses."
HR 9517,To amend the Omnibus Public Land Management Act of 2009 to authorize certain extraordinary operation and maintenance work for urban canals of concern.
S 4021,Human Rights Violators Act of 2022
HR 7308,Justice for Vaccine Victims Act of 2022
HR 4700,Transition for Success Act
S 1658,PUMP for Nursing Mothers Act
HR 6405,Marriage Equality for Disabled Adults Act
SRES 580,"A resolution recognizing the 100th anniversary of the creation of the Purdue ""All-American"" Marching Band's World's Largest Drum."
S 4020,Fight Inflation Through Balanced Budgets Act
HR 3599,Federal Rotational Cyber Workforce Program Act of 2021
HR 7404,The Real Emergencies Act
HR 7405,Reducing Helicopter Noise in the District of Columbia Act
SRES 446,A resolution commending the Government of Lithuania for its resolve in increasing ties with Taiwan and supporting its firm stance against coercion by the Chinese Communist Party.
HR 2954,Securing a Strong Retirement Act of 2021
S 4013,Energy Security and Independence Act of 2022
SRES 575,"A resolution recognizing April 4, 2022, as the International Day for Mine Awareness and Assistance in Mine Action, and reaffirming the leadership of the United States in eliminating landmines and unexploded ordnance."
S 4010,21st Century Courts Act of 2022
HR 7324,Gas Prices Relief Act of 2022
HR 7369,VENTURE Act
HR 1218,Data Mapping to Save Moms’ Lives Act
S 4017,"A bill to designate the United States courthouse located at 111 South Highland Avenue in Jackson, Tennessee, as the ""James D. Todd United States Courthouse"", and for other purposes."
S 4014,Brycen Gray and Ben Price COVID–19 Cognitive Research Act
HR 6203,Emergency SNAP Staffing Flexibility Act of 2021
HR 2545,"To amend title 38, United States Code, to clarify the role of doctors of podiatric medicine in the Department of Veterans Affairs, and for other purposes."
SRES 577,"A resolution designating April 2022 as ""Parkinson's Awareness Month""."
S 3157,Bridging the Gap for New Americans Act
S 4468,Improving Diagnosis in Medicine Act of 2022
HR 2869,Increasing Access to Biosimilars Act of 2021
HRES 1031,"Impeaching Joseph R. Biden, President of the United States, for high crimes and misdemeanors."
S 267,Investments in Rural Transit Act of 2021
HR 1951,Increase Federal Disaster Cost Share Act of 2021
HR 7393,Improving VA Workforce Diversity Through Minority-serving Institutions Act of 2022
HR 1338,Police CAMERA Act of 2021
S 725,Stop Tax Haven Abuse Act
S 4033,ONSHORE Manufacturing Act
S 2237,Community College Student Success Act of 2021
S 2220,Section 331 Obligation Clarification Act
S 3659,Supporting Essential Workers in Retirement Act
HR 2233,Aretha Franklin Congressional Gold Medal Act
S 2276,Keeping Girls in School Act
S 1809,ASSET Act
HR 2367,SOBER Homes Act
S 1786,Rescuing Every Contributor from Unwanted Recurrences (RECUR) Act
HR 5416,Give Kids a Chance Act
HRES 570,Commemorating the past success of the United States Olympic and Paralympic Teams and supporting the United States Olympic and Paralympic Teams in the 2020 Olympic Games and Paralympic Games.
HR 2320,Elaine M. Checketts Military Families Act
HR 3982,Traditional Cigar Manufacturing and Small Business Jobs Preservation Act of 2021
HR 407,Responsible Climate Action and American Competitiveness Act
HR 7751,GOUGE Act
HR 2994,Accountability for Acting Officials Act
HR 4022,Cell-Site Simulator Warrant Act of 2021
HR 6799,John P. Parker House Study Act
HR 4577,Park District Community Support Grant Program Act
S 3654,Debt Ceiling Reform Act
S 3650,PLUM Act of 2022
HR 1398,Filtering and Retrofitting the Environment for Safe and Healthy Activities Indoors and Revenue (FRESH AIR) for Businesses Act
HR 80,John Tanner Fairness and Independence in Redistricting Act
HR 3176,Shawnee Wilderness Designation Act
HR 6536,Stopping Traffickers and Their Accomplices Act of 2022
HR 1409,RUSH WAS RIGHT Act of 2021
S 3621,CASC Act
S 3221,IRS Improper Payments Act
HR 1275,National Right-to-Work Act
HR 5462,Tanning Tax Repeal Act of 2021
HR 1732,RETAIN Act
HR 2424,Agricultural Fairs Rescue Act
HR 1358,EPIC Act
HR 2530,Enewetak Atoll Cleanup Radiation Study Act
HR 1597,Southern Nevada Economic Development and Conservation Act
HR 5787,Department of Veterans Affairs Telehealth Strategy Act
HR 292,VA Health Center Management Stability and Improvement Act
HRES 650,Honoring the Minnesotans competing for Team USA in the 2020 Tokyo Summer Paralympic Games.
S 877,Roadless Area Conservation Act of 2021
HR 898,Care for COVID–19 Act of 2021
HR 2753,Veterans Claim Transparency Act of 2021
S 1219,A bill to establish the policy of the United States regarding the no-first-use of nuclear weapons.
HRES 1174,"Supporting the goals and ideals of ""Deep Vein Thrombosis and Pulmonary Embolism Awareness Month""."
HR 3452,Veterans Preventive Health Coverage Fairness Act
HR 6717,Preventing Pretrial Gun Purchases Act
HR 4480,Telehealth Coverage and Payment Parity Act
HR 4095,Workforce Development Through Post-Graduation Scholarships Act of 2021
HR 2388,"Honest Elections and Campaign, No Gain Act"
S 714,No Tax Breaks for Outsourcing Act
S 2055,IRS Whistleblower Program Improvement Act of 2021
HR 6697,Disaster Contract Improvement Act
HR 205,Accelerating Broadband Connectivity Act of 2021
HR 2895,REPAIR Act
HRES 1105,"Expressing support for increasing the number of Latino students and young professionals entering careers in science, technology, engineering, and mathematics fields."
HR 1899,Ensuring Compliance Against Drug Diversion Act of 2021
