identifier,title
HR 5790,Neutralizing Unfair Chinese Export Subsidies Act of 2021
S 2441,Southern Campaign of the Revolution National Heritage Corridor Act of 2021
HRES 361,Calling upon the United States Senate to give its advice and consent to the ratification of the United Nations Convention on the Law of the Sea.
HR 2034,Income-Driven Student Loan Forgiveness Act
HR 7017,"To designate the facility of the United States Postal Service located at 3901 MacArthur Blvd, in New Orleans, Louisiana, as the ""Dr. Rudy Lombard Post Office""."
HR 1700,Broadband Infrastructure Finance and Innovation Act of 2021
HCONRES 79,Directing the Clerk of the House of Representatives to make a correction in the enrollment of H.R. 2471.
S 2983,ADAPT for COVID Act
HR 1879,U.S.A. Electrify Forward Act
HR 4570,Define WOTUS Act of 2021
HR 4667,Public School Emergency Relief Act
HR 4639,Tax Credit Restoration Act of 2021
HR 2556,Maternal CARE Act
HR 4661,National Supply Chain Database Act of 2021
HR 4646,Time for Completion Act
HR 609,"To amend title 49, United States Code, to require Amtrak to convey of certain properties to the Commonwealth of Pennsylvania, and for other purposes."
SRES 512,A resolution supporting reopening the United States Capitol Building and Senate Office Buildings to the American people.
S 1555,Get Americans Back To Work Act
S 3710,Emmett Till Antilynching Act
S 660,Tele-Mental Health Improvement Act
S 1455,RECLAIM Act of 2021
SRES 312,A resolution congratulating the Tampa Bay Lightning on winning the 2021 Stanley Cup Final.
HR 1356,Resident Commuter Toll Relief Act
